SECCION_ID,YEAR,n_accidents,n_fatal,n_serious,n_victims_30d,n_vehicles_inv,imd_mean,vehicle_passages,ACI,aci_mean,aci_std,threshold_TCA,IS_TCA,ACI_rank_year,CARRETERA
A-1 CAMBIO_13,2019,1,0,0,1,2,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1 CAMBIO
A-1 CAMBIO_18,2019,1,0,0,1,1,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1 CAMBIO
A-1 SALIDA_22,2019,1,0,0,1,1,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1 SALIDA
A-1A_41,2016,1,0,0,2,1,,,,,,,0,1,A-1A
A-1A_41,2018,2,0,0,2,5,,,,115.68686854823271,281.89695580947927,397.583824357712,0,141,A-1A
A-1A_42,2019,1,0,0,1,2,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1A
A-1A_42,2023,1,1,0,2,1,,,,76.29327711292254,117.44156197232847,193.734839085251,0,141,A-1A
A-1A_43,2016,1,0,0,1,2,,,,,,,0,1,A-1A
A-1A_43,2018,1,0,0,1,1,,,,115.68686854823271,281.89695580947927,397.583824357712,0,141,A-1A
A-1A_43,2022,1,0,0,1,1,,,,71.37599441911213,97.7016555107621,169.0776499298742,0,156,A-1A
A-1A_43,2024,1,0,0,2,1,,,,79.07698323958455,183.1540705009367,262.23105374052125,0,154,A-1A
A-1A_44,2020,1,0,1,1,1,,,,,,,0,1,A-1A
A-1A_44,2021,1,1,0,1,1,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1A
A-1A_45,2021,1,1,0,1,2,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1A
A-1A_45,2024,1,0,1,1,1,,,,79.07698323958455,183.1540705009367,262.23105374052125,0,154,A-1A
A-1A_46,2017,1,0,0,3,2,,,,,,,0,1,A-1A
A-1A_46,2021,1,0,0,1,1,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1A
A-1A_46,2022,1,0,0,1,1,,,,71.37599441911213,97.7016555107621,169.0776499298742,0,156,A-1A
A-1_10,2016,8,0,0,12,16,,,,,,,0,1,A-1
A-1_10,2017,15,0,1,24,40,,,,,,,0,1,A-1
A-1_10,2018,10,0,0,14,20,,,,115.68686854823271,281.89695580947927,397.583824357712,0,141,A-1
A-1_10,2019,9,0,0,12,15,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1
A-1_10,2020,1,0,0,1,3,,,,,,,0,1,A-1
A-1_10,2021,4,0,0,6,8,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
A-1_10,2022,5,0,0,6,12,,,,71.37599441911213,97.7016555107621,169.0776499298742,0,156,A-1
A-1_10,2023,2,0,0,4,4,,,,76.29327711292254,117.44156197232847,193.734839085251,0,141,A-1
A-1_10,2024,8,0,2,9,12,,,,79.07698323958455,183.1540705009367,262.23105374052125,0,154,A-1
A-1_11,2016,7,0,1,16,16,,,,,,,0,1,A-1
A-1_11,2017,10,1,0,17,30,,,,,,,0,1,A-1
A-1_11,2018,9,0,0,11,19,,,,115.68686854823271,281.89695580947927,397.583824357712,0,141,A-1
A-1_11,2019,7,0,0,8,13,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1
A-1_11,2020,2,0,0,2,5,,,,,,,0,1,A-1
A-1_11,2021,4,0,0,7,10,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
A-1_11,2022,1,0,0,1,2,,,,71.37599441911213,97.7016555107621,169.0776499298742,0,156,A-1
A-1_11,2023,5,0,0,6,7,,,,76.29327711292254,117.44156197232847,193.734839085251,0,141,A-1
A-1_11,2024,5,0,2,5,11,,,,79.07698323958455,183.1540705009367,262.23105374052125,0,154,A-1
A-1_12,2016,6,0,0,8,6,,,,,,,0,1,A-1
A-1_12,2017,8,0,1,10,19,,,,,,,0,1,A-1
A-1_12,2018,8,0,0,11,17,,,,115.68686854823271,281.89695580947927,397.583824357712,0,141,A-1
A-1_12,2019,1,0,0,1,1,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1
A-1_12,2020,3,0,0,3,4,,,,,,,0,1,A-1
A-1_12,2021,4,0,0,4,5,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
A-1_12,2022,3,0,0,3,5,,,,71.37599441911213,97.7016555107621,169.0776499298742,0,156,A-1
A-1_12,2023,2,0,0,2,3,,,,76.29327711292254,117.44156197232847,193.734839085251,0,141,A-1
A-1_12,2024,3,0,1,3,5,,,,79.07698323958455,183.1540705009367,262.23105374052125,0,154,A-1
A-1_13,2016,16,0,0,24,35,,,,,,,0,1,A-1
A-1_13,2017,17,0,0,28,44,,,,,,,0,1,A-1
A-1_13,2018,18,0,0,29,31,,,,115.68686854823271,281.89695580947927,397.583824357712,0,141,A-1
A-1_13,2019,15,0,0,21,38,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1
A-1_13,2020,12,0,0,15,29,,,,,,,0,1,A-1
A-1_13,2021,10,0,0,15,20,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
A-1_13,2022,17,0,0,19,40,,,,71.37599441911213,97.7016555107621,169.0776499298742,0,156,A-1
A-1_13,2023,13,0,0,22,30,,,,76.29327711292254,117.44156197232847,193.734839085251,0,141,A-1
A-1_13,2024,11,1,0,15,21,,,,79.07698323958455,183.1540705009367,262.23105374052125,0,154,A-1
A-1_14,2016,10,0,0,11,21,,,,,,,0,1,A-1
A-1_14,2017,8,0,0,11,12,,,,,,,0,1,A-1
A-1_14,2018,6,0,1,9,16,,,,115.68686854823271,281.89695580947927,397.583824357712,0,141,A-1
A-1_14,2019,5,0,0,34,11,,,,88.56992570684956,217.4020087535106,305.97193446036016,0,139,A-1
A-1_14,2020,4,0,0,4,8,,,,,,,0,1,A-1
A-1_14,2021,4,0,0,7,8,,,,105.54620988064922,237.3122646538113,342.8584745344605,0,150,A-1
A-1_14,2022,9,0,0,13,18,,,,71.37599441911213,97.7016555107621,169.0776499298742,0,156,A-1
A-1_14,2023,5,0,0,5,14,,,,76.29327711292254,117.44156197232847,193.734839085251,0,141,A-1
A-1_14,2024,4,0,0,8,9,,,,79.07698323958455,183.1540705009367,262.23105374052125,0,154,A-1
A-1_15,2016,8,0,0,11,18,,,,,,,0,1,A-1
A-1_15,2017,5,0,0,7,9,,,,,,,0,1,A-1
