CARRETERA,YEAR,n_total,n_bad_surface,RCII_pct,imd_road_mean,road_passages,RCII_rate_per100M,RCII_level
A-1,2016,184,5,2.7174,,,,Low
A-1,2017,205,5,2.439,,,,Low
A-1,2018,191,10,5.2356,,,,Medium
A-1,2019,169,2,1.1834,,,,Low
A-1,2020,87,1,1.1494,,,,Low
A-1,2021,131,12,9.1603,,,,Medium
A-1,2022,123,2,1.626,,,,Low
A-1,2023,131,1,0.7634,,,,Low
A-1,2024,120,2,1.6667,,,,Low
A-1 CAMBIO,2019,2,0,0.0,,,,Low
A-1 SALIDA,2019,1,0,0.0,,,,Low
A-1A,2016,2,1,50.0,,,,High
A-1A,2017,1,0,0.0,,,,Low
A-1A,2018,3,0,0.0,,,,Low
A-1A,2019,1,0,0.0,,,,Low
A-1A,2020,1,0,0.0,,,,Low
A-1A,2021,3,0,0.0,,,,Low
A-1A,2022,2,0,0.0,,,,Low
A-1A,2023,1,0,0.0,,,,Low
A-1A,2024,2,0,0.0,,,,Low
A-2,2016,181,3,1.6575,,,,Low
A-2,2017,166,0,0.0,,,,Low
A-2,2018,183,2,1.0929,,,,Low
A-2,2019,151,2,1.3245,,,,Low
A-2,2020,100,1,1.0,,,,Low
A-2,2021,135,1,0.7407,,,,Low
A-2,2022,203,3,1.4778,,,,Low
A-2,2023,168,1,0.5952,,,,Low
A-2,2024,106,3,2.8302,,,,Low
A-2 C.S,2019,1,0,0.0,,,,Low
A-2 CAMBIO,2019,1,0,0.0,,,,Low
A-2 CS,2019,1,0,0.0,,,,Low
A-2 V.S,2019,1,0,0.0,,,,Low
A-2 VS,2019,1,0,0.0,,,,Low
"A-2, V.S.",2019,1,0,0.0,,,,Low
A-3,2016,188,3,1.5957,,,,Low
A-3,2017,143,1,0.6993,,,,Low
A-3,2018,156,3,1.9231,,,,Low
A-3,2019,140,1,0.7143,,,,Low
A-3,2020,92,6,6.5217,,,,Medium
A-3,2021,84,2,2.381,,,,Low
A-3,2022,115,1,0.8696,,,,Low
A-3,2023,115,4,3.4783,,,,Low
A-3,2024,145,2,1.3793,,,,Low
A-4,2016,136,1,0.7353,,,,Low
A-4,2017,164,1,0.6098,,,,Low
A-4,2018,157,0,0.0,,,,Low
A-4,2019,143,1,0.6993,,,,Low
A-4,2020,94,2,2.1277,,,,Low
A-4,2021,116,2,1.7241,,,,Low
A-4,2022,134,4,2.9851,,,,Low
A-4,2023,141,6,4.2553,,,,Low
A-4,2024,151,3,1.9868,,,,Low
A-4 V.S.,2019,1,0,0.0,,,,Low
A-42,2016,130,2,1.5385,,,,Low
A-42,2017,147,0,0.0,,,,Low
A-42,2018,140,2,1.4286,,,,Low
A-42,2019,145,0,0.0,,,,Low
A-42,2020,76,1,1.3158,,,,Low
A-42,2021,86,0,0.0,,,,Low
A-42,2022,103,0,0.0,,,,Low
A-42,2023,126,1,0.7937,,,,Low
A-42,2024,111,1,0.9009,,,,Low
A-5,2016,132,1,0.7576,,,,Low
A-5,2017,134,2,1.4925,,,,Low
A-5,2018,156,0,0.0,,,,Low
A-5,2019,159,1,0.6289,,,,Low
A-5,2020,72,1,1.3889,,,,Low
A-5,2021,104,0,0.0,,,,Low
A-5,2022,115,0,0.0,,,,Low
A-5,2023,125,0,0.0,,,,Low
A-5,2024,152,0,0.0,,,,Low
A-5/1,2016,12,0,0.0,,,,Low
A-5/1,2017,13,0,0.0,,,,Low
A-5/1,2018,23,0,0.0,,,,Low
A-5/1,2019,20,0,0.0,,,,Low
A-5/1,2020,11,0,0.0,,,,Low
A-5/1,2021,2,0,0.0,,,,Low
A-5R,2021,7,0,0.0,,,,Low
A-5R,2022,10,0,0.0,,,,Low
A-5R,2023,8,1,12.5,,,,Medium
A-5R,2024,13,0,0.0,,,,Low
A-6,2016,175,1,0.5714,,,,Low
A-6,2017,147,2,1.3605,,,,Low
A-6,2018,159,1,0.6289,,,,Low
A-6,2019,133,2,1.5038,,,,Low
A-6,2020,104,3,2.8846,,,,Low
A-6,2021,109,1,0.9174,,,,Low
A-6,2022,139,0,0.0,,,,Low
A-6,2023,102,1,0.9804,,,,Low
A-6,2024,92,1,1.087,,,,Low
A-6 BUS-VAO,2016,3,0,0.0,,,,Low
A-6 BUS-VAO,2017,8,0,0.0,,,,Low
A-6 BUS-VAO,2018,1,0,0.0,,,,Low
A-6 BUS-VAO,2019,6,0,0.0,,,,Low
A-6 BUS-VAO,2021,1,0,0.0,,,,Low
A-6 BUS-VAO,2022,6,0,0.0,,,,Low
A-6 VIA SE,2024,1,0,0.0,,,,Low
A6,2019,1,0,0.0,,,,Low
AP-41,2016,2,0,0.0,,,,Low
AP-41,2019,1,0,0.0,,,,Low
AP-41,2022,1,0,0.0,,,,Low
AP-41,2024,1,0,0.0,,,,Low
AP-6,2016,12,1,8.3333,,,,Medium
AP-6,2017,8,0,0.0,,,,Low
AP-6,2018,13,1,7.6923,,,,Medium
AP-6,2019,9,0,0.0,,,,Low
AP-6,2020,4,0,0.0,,,,Low
AP-6,2021,5,0,0.0,,,,Low
AP-6,2022,9,1,11.1111,,,,Medium
AP-6,2023,5,1,20.0,,,,High
AP-6,2024,6,0,0.0,,,,Low
CAMINO,2016,1,0,0.0,,,,Low
CAMINO,2018,1,1,100.0,,,,High
CAMINO,2020,1,0,0.0,,,,Low
CAMINO,2021,1,1,100.0,,,,High
CAMINO,2023,2,1,50.0,,,,High
CAMINO DE,2021,1,0,0.0,,,,Low
CM-2028,2016,1,0,0.0,,,,Low
CM-4004,2019,1,0,0.0,,,,Low
CM-4004,2023,1,0,0.0,,,,Low
CM-4006,2020,1,0,0.0,,,,Low
CM-4006,2024,3,0,0.0,,,,Low
CNCALALBER,2023,1,0,0.0,,,,Low
CV-01,2018,1,0,0.0,,,,Low
CVC,2023,1,0,0.0,,,,Low
DE FUENTE,2021,1,0,0.0,,,,Low
DESCONOCID,2021,1,0,0.0,,,,Low
"EJE 2 , A-",2020,1,0,0.0,,,,Low
ENLACE DE,2019,1,0,0.0,,,,Low
M 137,2020,1,0,0.0,,,,Low
M-100,2016,17,1,5.8824,,,,Medium
M-100,2017,34,1,2.9412,,,,Low
M-100,2018,25,0,0.0,19068.0,6959820.0,0.0,Low
M-100,2019,22,1,4.5455,18556.4,6773086.000000001,14.764318657699015,Low
M-100,2020,17,0,0.0,,,,Low
M-100,2021,21,1,4.7619,18764.4,6849006.000000001,14.6006588401295,Low
M-100,2022,22,1,4.5455,19315.2,7050048.0,14.18430058915911,Low
M-100,2023,26,2,7.6923,19464.4,7104506.000000001,28.15114801789174,Medium
M-100,2024,7,0,0.0,20719.4,7562581.000000001,0.0,Low
M-102,2016,1,0,0.0,,,,Low
M-102,2017,1,0,0.0,,,,Low
M-102,2018,4,0,0.0,3837.0,1400505.0,0.0,Low
M-102,2019,1,0,0.0,4031.0,1471315.0,0.0,Low
M-102,2020,4,0,0.0,,,,Low
M-102,2021,1,0,0.0,4149.0,1514385.0,0.0,Low
M-102,2022,4,0,0.0,4085.0,1491025.0,0.0,Low
M-102,2023,1,0,0.0,4141.0,1511465.0,0.0,Low
M-102,2024,2,0,0.0,4292.0,1566580.0,0.0,Low
M-103,2016,16,1,6.25,,,,Medium
M-103,2017,21,0,0.0,,,,Low
M-103,2018,15,0,0.0,8964.166666666666,3271920.833333333,0.0,Low
M-103,2019,16,1,6.25,9488.333333333334,3463241.666666667,28.874681476169965,Medium
M-103,2020,14,0,0.0,,,,Low
M-103,2021,14,0,0.0,8992.166666666666,3282140.833333333,0.0,Low
M-103,2022,13,1,7.6923,9416.166666666666,3436900.833333333,29.095980608498795,Medium
M-103,2023,15,0,0.0,9554.166666666666,3487270.833333333,0.0,Low
M-103,2024,16,0,0.0,9767.5,3565137.5,0.0,Low
M-104,2016,5,0,0.0,,,,Low
M-104,2017,9,1,11.1111,,,,Medium
M-104,2018,6,0,0.0,4082.0,1489930.0,0.0,Low
M-104,2019,8,1,12.5,4720.0,1722800.0,58.04504295333179,Medium
M-104,2020,4,1,25.0,,,,High
M-104,2021,1,0,0.0,3807.0,1389555.0,0.0,Low
M-104,2022,1,0,0.0,4088.0,1492120.0,0.0,Low
M-104,2023,3,1,33.3333,4001.0,1460365.0,68.47603167701224,High
M-104,2024,5,0,0.0,4154.0,1516210.0,0.0,Low
M-106,2016,5,0,0.0,,,,Low
M-106,2017,6,0,0.0,,,,Low
M-106,2018,4,0,0.0,23366.0,8528590.0,0.0,Low
M-106,2019,3,0,0.0,23459.0,8562535.0,0.0,Low
M-106,2020,4,0,0.0,,,,Low
M-106,2021,9,0,0.0,21665.0,7907725.0,0.0,Low
M-106,2022,4,0,0.0,21379.0,7803335.0,0.0,Low
M-106,2023,3,0,0.0,21019.0,7671935.0,0.0,Low
M-106,2024,5,0,0.0,23198.0,8467270.0,0.0,Low
M-108,2016,6,0,0.0,,,,Low
M-108,2017,6,0,0.0,,,,Low
M-108,2018,7,0,0.0,14754.0,5385210.0,0.0,Low
M-108,2019,10,0,0.0,14774.333333333334,5392631.666666667,0.0,Low
M-108,2020,4,0,0.0,,,,Low
M-108,2021,7,0,0.0,12932.333333333334,4720301.666666667,0.0,Low
M-108,2022,8,1,12.5,12360.0,4511400.0,22.16606818282573,Medium
M-108,2023,7,1,14.2857,13564.666666666666,4951103.333333333,20.19751826360589,Medium
M-108,2024,5,0,0.0,13749.666666666666,5018628.333333333,0.0,Low
M-11,2016,10,0,0.0,,,,Low
M-11,2017,9,0,0.0,,,,Low
M-11,2018,7,0,0.0,,,,Low
M-11,2019,20,0,0.0,,,,Low
M-11,2020,4,0,0.0,,,,Low
M-11,2021,11,0,0.0,,,,Low
M-11,2022,12,1,8.3333,,,,Medium
M-11,2023,13,1,7.6923,,,,Medium
M-11,2024,12,0,0.0,,,,Low
M-110,2021,1,0,0.0,,,,Low
M-111,2016,19,0,0.0,,,,Low
M-111,2017,15,0,0.0,,,,Low
