COD_MUNICIPIO,YEAR,n_total,n_proxy_substance,RADAR_proxy_pct
0,2016,319,3,0.9404
0,2017,361,2,0.554
0,2018,305,0,0.0
0,2019,359,1,0.2786
0,2020,245,3,1.2245
0,2021,312,3,0.9615
0,2022,288,3,1.0417
0,2023,312,2,0.641
0,2024,338,4,1.1834
28004,2016,3,0,0.0
28004,2017,5,0,0.0
28004,2018,5,1,20.0
28004,2019,3,0,0.0
28004,2020,2,0,0.0
28004,2021,3,0,0.0
28004,2022,2,0,0.0
28004,2023,7,0,0.0
28004,2024,4,0,0.0
28005,2016,86,0,0.0
28005,2017,80,0,0.0
28005,2018,90,4,4.4444
28005,2019,97,3,3.0928
28005,2020,80,1,1.25
28005,2021,81,1,1.2346
28005,2022,132,1,0.7576
28005,2023,123,1,0.813
28005,2024,70,2,2.8571
28006,2016,64,0,0.0
28006,2017,74,1,1.3514
28006,2018,74,2,2.7027
28006,2019,64,0,0.0
28006,2020,36,1,2.7778
28006,2021,47,1,2.1277
28006,2022,62,3,4.8387
28006,2023,51,2,3.9216
28006,2024,37,0,0.0
28007,2016,119,2,1.6807
28007,2017,89,1,1.1236
28007,2018,105,1,0.9524
28007,2019,87,0,0.0
28007,2020,59,3,5.0847
28007,2021,98,4,4.0816
28007,2022,76,3,3.9474
28007,2023,79,2,2.5316
28007,2024,78,3,3.8462
28009,2016,8,0,0.0
28009,2017,14,0,0.0
28009,2018,14,0,0.0
28009,2019,12,0,0.0
28009,2020,12,0,0.0
28009,2021,12,0,0.0
28009,2022,12,0,0.0
28009,2023,10,0,0.0
28009,2024,12,0,0.0
28010,2016,10,0,0.0
28010,2017,5,0,0.0
28010,2018,14,0,0.0
28010,2019,11,0,0.0
28010,2020,10,0,0.0
28010,2021,10,0,0.0
28010,2022,8,0,0.0
28010,2023,16,0,0.0
28010,2024,8,0,0.0
28013,2016,28,0,0.0
28013,2017,30,0,0.0
28013,2018,23,0,0.0
28013,2019,27,0,0.0
28013,2020,23,1,4.3478
28013,2021,18,0,0.0
28013,2022,35,1,2.8571
28013,2023,22,0,0.0
28013,2024,32,1,3.125
28014,2016,49,1,2.0408
28014,2017,49,0,0.0
28014,2018,37,0,0.0
28014,2019,58,1,1.7241
28014,2020,34,1,2.9412
28014,2021,27,0,0.0
28014,2022,45,1,2.2222
28014,2023,43,0,0.0
28014,2024,57,1,1.7544
28015,2016,12,1,8.3333
28015,2017,8,0,0.0
28015,2018,3,0,0.0
28015,2019,9,1,11.1111
