TIPO_ACCIDENTE_LABEL,YEAR,n_accidents,n_fatal_30d,n_serious_30d,n_light_30d,n_victims_30d,ASI_pct
Atropello a animales,2016,15,0,2,21,23,8.6957
Atropello a animales,2017,11,0,3,14,17,17.6471
Atropello a animales,2018,17,1,0,24,25,4.0
Atropello a animales,2019,8,0,0,15,15,0.0
Atropello a animales,2020,11,0,1,25,26,3.8462
Atropello a animales,2021,17,0,0,35,35,0.0
Atropello a animales,2022,13,0,2,30,32,6.25
Atropello a animales,2023,15,0,3,22,25,12.0
Atropello a animales,2024,10,1,2,19,22,13.6364
Atropello a personas,2016,57,39,401,2360,2800,15.7143
Atropello a personas,2017,73,34,375,2282,2691,15.1988
Atropello a personas,2018,69,45,330,2340,2715,13.8122
Atropello a personas,2019,71,52,257,2390,2699,11.4487
Atropello a personas,2020,48,33,164,1414,1611,12.2284
Atropello a personas,2021,55,37,207,1758,2002,12.1878
Atropello a personas,2022,65,32,214,2125,2371,10.3754
Atropello a personas,2023,61,45,228,2022,2295,11.8954
Atropello a personas,2024,57,36,239,1841,2116,12.9962
Caída,2016,133,6,146,1939,2091,7.2692
Caída,2017,178,10,142,1924,2076,7.3218
Caída,2018,180,3,158,2134,2295,7.0153
Caída,2019,185,6,82,2360,2448,3.5948
Caída,2020,110,7,67,1758,1832,4.0393
Caída,2021,136,3,104,2184,2291,4.6704
Caída,2022,145,3,78,2340,2421,3.3457
Caída,2023,138,5,90,2157,2252,4.2185
Caída,2024,126,5,105,2126,2236,4.9195
Colisión contra obstáculo o elemento de la vía,2016,43,5,71,798,874,8.6957
Colisión contra obstáculo o elemento de la vía,2017,30,7,74,689,770,10.5195
Colisión contra obstáculo o elemento de la vía,2018,48,10,69,812,891,8.8664
Colisión contra obstáculo o elemento de la vía,2019,32,2,25,580,607,4.4481
Colisión contra obstáculo o elemento de la vía,2020,24,8,28,423,459,7.8431
Colisión contra obstáculo o elemento de la vía,2021,28,3,23,506,532,4.8872
Colisión contra obstáculo o elemento de la vía,2022,22,5,22,557,584,4.6233
Colisión contra obstáculo o elemento de la vía,2023,40,3,32,506,541,6.4695
Colisión contra obstáculo o elemento de la vía,2024,39,6,32,434,472,8.0508
Colisión frontal,2016,83,7,16,205,228,10.0877
Colisión frontal,2017,74,18,39,204,261,21.8391
Colisión frontal,2018,73,5,25,173,203,14.7783
Colisión frontal,2019,102,11,57,512,580,11.7241
Colisión frontal,2020,69,9,35,386,430,10.2326
Colisión frontal,2021,73,14,34,434,482,9.9585
Colisión frontal,2022,87,21,55,493,569,13.3568
Colisión frontal,2023,76,17,52,442,511,13.5029
Colisión frontal,2024,77,14,41,506,561,9.8039
Colisión fronto-lateral,2016,228,17,236,4423,4676,5.4106
Colisión fronto-lateral,2017,282,10,261,4584,4855,5.5819
Colisión fronto-lateral,2018,283,8,210,4620,4838,4.506
Colisión fronto-lateral,2019,304,18,154,4330,4502,3.8205
Colisión fronto-lateral,2020,212,6,125,2701,2832,4.6257
Colisión fronto-lateral,2021,276,10,206,3312,3528,6.1224
Colisión fronto-lateral,2022,266,13,166,3778,3957,4.5236
Colisión fronto-lateral,2023,264,22,198,3607,3827,5.7486
Colisión fronto-lateral,2024,208,9,208,3617,3834,5.6599
Colisión lateral,2016,252,1,23,507,531,4.5198
Colisión lateral,2017,290,1,19,534,554,3.6101
Colisión lateral,2018,285,1,20,543,564,3.7234
Colisión lateral,2019,295,3,55,1516,1574,3.6849
Colisión lateral,2020,184,3,22,901,926,2.6998
Colisión lateral,2021,237,2,42,1197,1241,3.5455
Colisión lateral,2022,261,3,32,1413,1448,2.4171
Colisión lateral,2023,283,3,42,1420,1465,3.0717
Colisión lateral,2024,251,3,59,1300,1362,4.5521
Colisión múltiple,2016,364,6,61,2078,2145,3.1235
Colisión múltiple,2017,410,1,49,2154,2204,2.2686
Colisión múltiple,2018,368,7,45,2031,2083,2.4964
Colisión múltiple,2019,314,5,25,1424,1454,2.0633
Colisión múltiple,2020,126,2,16,646,664,2.7108
