SECCION_ID,CARRETERA,YEAR,n_accidents,n_fatal_30d,n_serious_30d,n_victims_30d,ASI_pct
A-1 CAMBIO_13,A-1 CAMBIO,2019,1,0,0,1,0.0
A-1 CAMBIO_18,A-1 CAMBIO,2019,1,0,0,1,0.0
A-1 SALIDA_22,A-1 SALIDA,2019,1,0,0,1,0.0
A-1A_41,A-1A,2016,1,0,0,2,0.0
A-1A_41,A-1A,2018,2,0,0,2,0.0
A-1A_42,A-1A,2019,1,0,0,1,0.0
A-1A_42,A-1A,2023,1,1,0,2,50.0
A-1A_43,A-1A,2016,1,0,0,1,0.0
A-1A_43,A-1A,2018,1,0,0,1,0.0
A-1A_43,A-1A,2022,1,0,0,1,0.0
A-1A_43,A-1A,2024,1,0,0,2,0.0
A-1A_44,A-1A,2020,1,0,1,1,100.0
A-1A_44,A-1A,2021,1,1,0,1,100.0
A-1A_45,A-1A,2021,1,1,0,1,100.0
A-1A_45,A-1A,2024,1,0,1,1,100.0
A-1A_46,A-1A,2017,1,0,0,3,0.0
A-1A_46,A-1A,2021,1,0,0,1,0.0
A-1A_46,A-1A,2022,1,0,0,1,0.0
A-1_10,A-1,2016,8,0,0,12,0.0
A-1_10,A-1,2017,15,0,1,24,4.1667
A-1_10,A-1,2018,10,0,0,14,0.0
A-1_10,A-1,2019,9,0,0,12,0.0
A-1_10,A-1,2020,1,0,0,1,0.0
A-1_10,A-1,2021,4,0,0,6,0.0
A-1_10,A-1,2022,5,0,0,6,0.0
A-1_10,A-1,2023,2,0,0,4,0.0
A-1_10,A-1,2024,8,0,2,9,22.2222
A-1_11,A-1,2016,7,0,1,16,6.25
A-1_11,A-1,2017,10,1,3,17,23.5294
A-1_11,A-1,2018,9,0,0,11,0.0
A-1_11,A-1,2019,7,0,0,8,0.0
A-1_11,A-1,2020,2,0,0,2,0.0
A-1_11,A-1,2021,4,0,0,7,0.0
A-1_11,A-1,2022,1,0,0,1,0.0
A-1_11,A-1,2023,5,0,0,6,0.0
A-1_11,A-1,2024,5,0,2,5,40.0
A-1_12,A-1,2016,6,0,0,8,0.0
A-1_12,A-1,2017,8,0,1,10,10.0
A-1_12,A-1,2018,8,0,0,11,0.0
A-1_12,A-1,2019,1,0,0,1,0.0
A-1_12,A-1,2020,3,0,0,3,0.0
A-1_12,A-1,2021,4,0,0,4,0.0
A-1_12,A-1,2022,3,0,0,3,0.0
A-1_12,A-1,2023,2,0,0,2,0.0
A-1_12,A-1,2024,3,0,1,3,33.3333
A-1_13,A-1,2016,16,0,0,24,0.0
A-1_13,A-1,2017,17,0,0,28,0.0
A-1_13,A-1,2018,18,0,0,29,0.0
A-1_13,A-1,2019,15,0,0,21,0.0
