CARRETERA,YEAR,n_accidents,n_fatal_30d,n_serious_30d,yoy_delta_abs,yoy_delta_pct,is_covid_year
A-1,2016,184,3,6,,,False
A-1,2017,205,3,8,21.0,11.41,False
A-1,2018,191,0,7,-14.0,-6.83,False
A-1,2019,169,4,6,-22.0,-11.52,False
A-1,2020,87,1,4,-82.0,-48.52,True
A-1,2021,131,3,1,44.0,50.57,True
A-1,2022,123,0,2,-8.0,-6.11,False
A-1,2023,131,2,5,8.0,6.5,False
A-1,2024,120,4,13,-11.0,-8.4,False
A-1 CAMBIO,2019,2,0,0,,,False
A-1 SALIDA,2019,1,0,0,,,False
A-1A,2016,2,0,0,,,False
A-1A,2017,1,0,0,-1.0,-50.0,False
A-1A,2018,3,0,0,2.0,200.0,False
A-1A,2019,1,0,0,-2.0,-66.67,False
A-1A,2020,1,0,1,0.0,0.0,True
A-1A,2021,3,2,0,2.0,200.0,True
A-1A,2022,2,0,0,-1.0,-33.33,False
A-1A,2023,1,1,0,-1.0,-50.0,False
A-1A,2024,2,0,1,1.0,100.0,False
A-2,2016,181,7,12,,,False
A-2,2017,166,0,9,-15.0,-8.29,False
A-2,2018,183,2,15,17.0,10.24,False
A-2,2019,151,3,5,-32.0,-17.49,False
A-2,2020,100,0,7,-51.0,-33.77,True
A-2,2021,135,3,4,35.0,35.0,True
A-2,2022,203,4,3,68.0,50.37,False
A-2,2023,168,3,4,-35.0,-17.24,False
A-2,2024,106,2,8,-62.0,-36.9,False
A-2 C.S,2019,1,0,0,,,False
A-2 CAMBIO,2019,1,0,0,,,False
A-2 CS,2019,1,0,0,,,False
A-2 V.S,2019,1,0,0,,,False
A-2 VS,2019,1,0,0,,,False
"A-2, V.S.",2019,1,0,0,,,False
A-3,2016,188,3,10,,,False
A-3,2017,143,2,5,-45.0,-23.94,False
A-3,2018,156,2,3,13.0,9.09,False
A-3,2019,140,5,7,-16.0,-10.26,False
A-3,2020,92,1,7,-48.0,-34.29,True
A-3,2021,84,5,4,-8.0,-8.7,True
A-3,2022,115,4,7,31.0,36.9,False
A-3,2023,115,4,7,0.0,0.0,False
A-3,2024,145,8,17,30.0,26.09,False
A-4,2016,136,1,9,,,False
A-4,2017,164,1,10,28.0,20.59,False
A-4,2018,157,1,4,-7.0,-4.27,False
A-4,2019,143,5,2,-14.0,-8.92,False
A-4,2020,94,2,4,-49.0,-34.27,True
A-4,2021,116,1,3,22.0,23.4,True
A-4,2022,134,1,2,18.0,15.52,False
A-4,2023,141,1,3,7.0,5.22,False
A-4,2024,151,0,8,10.0,7.09,False
A-4 V.S.,2019,1,0,0,,,False
A-42,2016,130,1,7,,,False
A-42,2017,147,1,3,17.0,13.08,False
A-42,2018,140,2,5,-7.0,-4.76,False
A-42,2019,145,3,4,5.0,3.57,False
A-42,2020,76,0,6,-69.0,-47.59,True
A-42,2021,86,0,1,10.0,13.16,True
A-42,2022,103,0,6,17.0,19.77,False
A-42,2023,126,2,6,23.0,22.33,False
A-42,2024,111,5,7,-15.0,-11.9,False
A-5,2016,132,1,2,,,False
A-5,2017,134,1,5,2.0,1.52,False
A-5,2018,156,3,7,22.0,16.42,False
A-5,2019,159,2,6,3.0,1.92,False
A-5,2020,72,1,4,-87.0,-54.72,True
A-5,2021,104,0,1,32.0,44.44,True
