CARRETERA,TIPO_ACCIDENTE_LABEL,YEAR,n_accidents,n_total_road_year,rel_freq_pct
A-1,Atropello a animales,2017,1,205,0.4878
A-1,Atropello a animales,2021,2,131,1.5267
A-1,Atropello a animales,2023,1,131,0.7634
A-1,Atropello a personas,2016,1,184,0.5435
A-1,Atropello a personas,2017,3,205,1.4634
A-1,Atropello a personas,2018,5,191,2.6178
A-1,Atropello a personas,2019,1,169,0.5917
A-1,Atropello a personas,2021,1,131,0.7634
A-1,Atropello a personas,2023,1,131,0.7634
A-1,Caída,2016,8,184,4.3478
A-1,Caída,2017,11,205,5.3659
A-1,Caída,2018,6,191,3.1414
A-1,Caída,2019,8,169,4.7337
A-1,Caída,2020,3,87,3.4483
A-1,Caída,2021,6,131,4.5802
A-1,Caída,2022,4,123,3.252
A-1,Caída,2023,2,131,1.5267
A-1,Caída,2024,3,120,2.5
A-1,Colisión contra obstáculo o elemento de la vía,2017,5,205,2.439
A-1,Colisión contra obstáculo o elemento de la vía,2021,1,131,0.7634
A-1,Colisión contra obstáculo o elemento de la vía,2022,1,123,0.813
A-1,Colisión contra obstáculo o elemento de la vía,2023,2,131,1.5267
A-1,Colisión contra obstáculo o elemento de la vía,2024,3,120,2.5
A-1,Colisión frontal,2016,1,184,0.5435
A-1,Colisión frontal,2017,1,205,0.4878
A-1,Colisión frontal,2019,1,169,0.5917
A-1,Colisión frontal,2023,1,131,0.7634
A-1,Colisión frontal,2024,1,120,0.8333
A-1,Colisión fronto-lateral,2016,2,184,1.087
A-1,Colisión fronto-lateral,2017,5,205,2.439
A-1,Colisión fronto-lateral,2018,5,191,2.6178
A-1,Colisión fronto-lateral,2019,8,169,4.7337
A-1,Colisión fronto-lateral,2020,4,87,4.5977
A-1,Colisión fronto-lateral,2021,7,131,5.3435
A-1,Colisión fronto-lateral,2022,8,123,6.5041
A-1,Colisión fronto-lateral,2023,2,131,1.5267
A-1,Colisión fronto-lateral,2024,1,120,0.8333
A-1,Colisión lateral,2016,8,184,4.3478
A-1,Colisión lateral,2017,24,205,11.7073
A-1,Colisión lateral,2018,21,191,10.9948
A-1,Colisión lateral,2019,15,169,8.8757
A-1,Colisión lateral,2020,6,87,6.8966
A-1,Colisión lateral,2021,11,131,8.3969
A-1,Colisión lateral,2022,8,123,6.5041
A-1,Colisión lateral,2023,15,131,11.4504
A-1,Colisión lateral,2024,14,120,11.6667
A-1,Colisión múltiple,2016,30,184,16.3043
A-1,Colisión múltiple,2017,33,205,16.0976
A-1,Colisión múltiple,2018,28,191,14.6597
A-1,Colisión múltiple,2019,23,169,13.6095
A-1,Colisión múltiple,2020,7,87,8.046
A-1,Colisión múltiple,2021,16,131,12.2137
A-1,Colisión múltiple,2022,15,123,12.1951
A-1,Colisión múltiple,2023,15,131,11.4504
A-1,Colisión múltiple,2024,16,120,13.3333
A-1,Colisión por alcance,2016,88,184,47.8261
A-1,Colisión por alcance,2017,89,205,43.4146
A-1,Colisión por alcance,2018,75,191,39.267
A-1,Colisión por alcance,2019,76,169,44.9704
