SECCION_ID,YEAR,CARRETERA,dominant_cause,n_dominant_accidents
A-1 CAMBIO_13,2019,A-1 CAMBIO,Colisión por alcance,1
A-1 CAMBIO_18,2019,A-1 CAMBIO,Salida de la vía por la izquierda con colisión,1
A-1 SALIDA_22,2019,A-1 SALIDA,Salida de la vía por la derecha otro tipo,1
A-1A_41,2016,A-1A,Salida de la vía por la derecha con vuelco,1
A-1A_41,2018,A-1A,Colisión por alcance,1
A-1A_42,2019,A-1A,Caída,1
A-1A_42,2023,A-1A,Atropello a personas,1
A-1A_43,2016,A-1A,Colisión fronto-lateral,1
A-1A_43,2018,A-1A,Salida de la vía por la derecha otro tipo,1
A-1A_43,2022,A-1A,Atropello a personas,1
A-1A_43,2024,A-1A,Salida de la vía por la izquierda con vuelco,1
A-1A_44,2020,A-1A,Salida de la vía por la izquierda con colisión,1
A-1A_44,2021,A-1A,Atropello a personas,1
A-1A_45,2021,A-1A,Colisión por alcance,1
A-1A_45,2024,A-1A,Atropello a personas,1
A-1A_46,2017,A-1A,Colisión fronto-lateral,1
A-1A_46,2021,A-1A,Salida de la vía por la derecha con vuelco,1
A-1A_46,2022,A-1A,Salida de la vía por la derecha otro tipo,1
A-1_10,2016,A-1,Colisión por alcance,4
A-1_10,2017,A-1,Colisión múltiple,5
A-1_10,2018,A-1,Colisión por alcance,4
A-1_10,2019,A-1,Caída,2
A-1_10,2020,A-1,Colisión múltiple,1
A-1_10,2021,A-1,Colisión fronto-lateral,1
A-1_10,2022,A-1,Colisión lateral,2
A-1_10,2023,A-1,Colisión por alcance,2
A-1_10,2024,A-1,Colisión por alcance,4
A-1_11,2016,A-1,Colisión por alcance,3
A-1_11,2017,A-1,Colisión por alcance,5
A-1_11,2018,A-1,Caída,2
A-1_11,2019,A-1,Colisión por alcance,3
A-1_11,2020,A-1,Colisión lateral,1
A-1_11,2021,A-1,Colisión por alcance,2
A-1_11,2022,A-1,Colisión por alcance,1
