CARRETERA,total_accidents,total_fatal_30d,total_serious_30d,total_victims_30d,total_bad_surface,total_proxy_substance,n_TCA_sections,ASI_pct,RCII_pct,RADAR_proxy_pct,dominant_cause
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1 DE MAYO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1 EL POSTIGUILLO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1 POL:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1 SAU-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1-5 CERCA MONTERO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1-POLIGONO INDUSTRIAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
109 VILLAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
11 DE MARZO (DEL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
11 LEONES (DE LOS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
11-M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
12 DE OCTUBRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
12 DE OCTUBRE (DEL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
13 C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
14 DE ABRIL (DEL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
14-LA ESTACION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
15 DE MAYO (DEL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1666 (DE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
19 DE ABRIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2 DE FEBRERO (DEL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2 DE MAYO (DEL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2 EL POSTIGUILLO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2 SAU-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2 SUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2-POLIGONO INDUSTRIAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2004 HORTALE-VALDEFUEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
21 DE MARZO (DEL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
22 DE NOVIEMBRE (DEL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
23 DE JULIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
25 DE NOVIEMBRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
27-LA ESTACION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
3 DE ABRIL (DEL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
3 SAU-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
3-POLIGONO INDUSTRIAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
301 A ARANJUEZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
4 EL POSTIGUILLO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
4 SAU-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
4-POLIGONO INDUSTRIAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
5 EL POSTIGUILLO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
5 SAU-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6 DE DICIEMBRE (DEL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6 EL POSTIGUILLO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6 SAU-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6 SUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
7 EL POSTIGUILLO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
7 PICOS-COBAÑERA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
7 SAU-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
8 DE MARZO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
8 EL POSTIGUILLO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
8 SECTOR 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
9 DE JUNIO (DE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
9 EL POSTIGUILLO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
9(II-EUROVILLAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
A HUERTA DEL ARENAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
A LA PELUQUERA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
A SECTOR 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
A SECTOR S.02.R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
A-1,1123.0,16.0,47.0,1830.0,27.0,3.0,51.0,3.44,2.4,0.27,Colisión por alcance
A-1 (BURGOS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
A-1 (MADRID-BURGOS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
A-1A,12.0,1.0,1.0,17.0,1.0,0.0,2.0,11.76,8.33,0.0,Atropello a personas
A-2,1158.0,21.0,56.0,1766.0,14.0,8.0,72.0,4.36,1.21,0.69,Colisión por alcance
A-3,1002.0,28.0,56.0,1560.0,15.0,2.0,68.0,5.38,1.5,0.2,Colisión por alcance
A-4,1026.0,10.0,38.0,1614.0,16.0,3.0,45.0,2.97,1.56,0.29,Colisión por alcance
A-42,902.0,14.0,38.0,1440.0,6.0,1.0,48.0,3.61,0.67,0.11,Colisión por alcance
A-5,973.0,12.0,37.0,1647.0,4.0,2.0,45.0,2.98,0.41,0.21,Colisión por alcance
A-5R,31.0,0.0,0.0,44.0,1.0,1.0,0.0,0.0,3.23,3.23,Colisión por alcance
A-6,947.0,9.0,42.0,1493.0,8.0,1.0,45.0,3.42,0.84,0.11,Colisión por alcance
A0 EL MAJUELO NORTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
A1 EL MAJUELO NORTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
A2 EL MAJUELO NORTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
A3 A ALCALA POR MEJORADA M-203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
A3 EL MAJUELO NORTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABAD ISIDORO OCAMPO (DEL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABAD JERONIMO HURTADO (DEL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABAD JUAN CATALAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABADA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABADES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABADESA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABAJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABAJO (DE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABALOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABANICO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABANTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABANTOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABANTOS-COBAÑERA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABAPIES (DE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABARDERO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABAREJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABARZUZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABASTOS (DE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABDON BORDOY (DE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABDON TERRADAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABDULLAH II DE JORDANIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABEDUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABEDUL (DEL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABEDULES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABEDULES (DE LOS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABEDULES (LOS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABEGONDO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABEJARUCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABEJARUCO (DEL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABEJAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABEJUELA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABELARDO ERREJON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABELARDO GALLEGO (DE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABELIAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABELLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABENARABI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABERTURA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABETAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABETO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABETO (DEL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABETOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABETOS (DE LOS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABETOS (LOS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABIUZANO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABIZANDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABLANQUEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABOGADOS ATOCHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABOGADOS DE ATOCHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABOGADOS DE ATOCHA (DE LOS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABOGADOS DE ATOCHA (DE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABOGADOS LABORALISTAS (DE LOS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABOLENGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABRAHAM MATESANZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABRANTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABREGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABREVADERO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABREVADERO (DEL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABRIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABTAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABUBILLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABUBILLA (DE LA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABUBILLAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABUELA LUISA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABUELOS (DE LOS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ABUNDIO GARCIA ROMAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AC/DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACACIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACACIA (DE LA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ACACIAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
